Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
729137	1.2857e-07	-5.46894	209	1	HSC	up	NA
7292	6.68996e-16	-8.76094	209	1	HSC	up	TNFSF4
7295	2.44804e-06	-4.84646	209	1	HSC	up	TXN
7324	9.47662e-07	-5.05289	209	1	HSC	up	UBE2E1
7345	5.59532e-21	-10.4981	209	1	HSC	up	UCHL1
7371	1.11582e-06	-5.0178	209	1	HSC	up	UCK2
7374	4.43026e-06	-4.71413	209	1	HSC	up	UNG
7381	3.41572e-07	-5.26832	209	1	HSC	up	UQCRB
744	1.45028e-25	-11.995	209	1	HSC	up	MPPED2
7442	3.86537e-06	-4.74479	209	1	HSC	up	TRPV1
7444	4.96664e-09	-6.10371	209	1	HSC	up	VRK2
7494	2.78313e-06	-4.81806	209	1	HSC	up	XBP1
753	1.2318e-06	-4.99647	209	1	HSC	up	LDLRAD4
7531	5.67458e-09	-6.07859	209	1	HSC	up	YWHAE
7570	4.79226e-07	-5.19754	209	1	HSC	up	ZNF22
7586	5.04926e-14	-8.08236	209	1	HSC	up	ZKSCAN1
7738	1.99609e-06	-4.89138	209	1	HSC	up	ZNF184
7741	4.28899e-14	-8.10845	209	1	HSC	up	ZSCAN26
7743	1.86119e-06	-4.90672	209	1	HSC	up	ZNF189
7746	4.97932e-07	-5.18949	209	1	HSC	up	ZSCAN9
7775	5.41395e-10	-6.51229	209	1	HSC	up	ZNF232
7798	7.45925e-07	-5.10401	209	1	HSC	up	LUZP1
783	3.49941e-27	-12.514	209	1	HSC	up	CACNB2
7837	6.75998e-17	-9.11123	209	1	HSC	up	PXDN
78987	1.80217e-07	-5.40019	209	1	HSC	up	CRELD1
78988	4.3019e-08	-5.68784	209	1	HSC	up	MRPL57
78998	2.34251e-23	-11.28	209	1	HSC	up	RHPN1-AS1
79017	1.22411e-07	-5.47888	209	1	HSC	up	GGCT
79070	1.43699e-22	-11.0226	209	1	HSC	up	POGLUT2
79077	6.15427e-07	-5.14481	209	1	HSC	up	DCTPP1
79090	1.59149e-07	-5.42557	209	1	HSC	up	TRAPPC6A
79143	4.35685e-08	-5.68534	209	1	HSC	up	MBOAT7
79172	1.58767e-08	-5.88228	209	1	HSC	up	CENPO
7923	6.81886e-11	-6.8803	209	1	HSC	up	HSD17B8
79582	4.29516e-08	-5.68815	209	1	HSC	up	SPAG16
79614	1.11232e-27	-12.6731	209	1	HSC	up	NA
79630	1.17423e-12	-7.57044	209	1	HSC	up	C1orf54
79633	1.12911e-09	-6.37863	209	1	HSC	up	FAT4
79635	1.27232e-25	-12.0133	209	1	HSC	up	CCDC121
79649	2.90178e-09	-6.20436	209	1	HSC	up	MAP7D3
79694	4.33899e-06	-4.71882	209	1	HSC	up	MANEA
79738	3.5024e-10	-6.59069	209	1	HSC	up	BBS10
79752	2.63995e-07	-5.32173	209	1	HSC	up	ZFAND1
79754	4.69765e-10	-6.5379	209	1	HSC	up	ASB13
79768	8.8786e-11	-6.83409	209	1	HSC	up	KATNBL1
79772	4.51186e-09	-6.12178	209	1	HSC	up	MCTP1
7979	3.49518e-06	-4.76734	209	1	HSC	up	SEM1
79796	2.77404e-06	-4.81879	209	1	HSC	up	ALG9
79805	2.24297e-06	-4.86575	209	1	HSC	up	VASH2
79843	7.44196e-19	-9.78514	209	1	HSC	up	FAM124B
79870	7.01993e-27	-12.4172	209	1	HSC	up	BAALC
79891	2.96858e-08	-5.76072	209	1	HSC	up	ZNF671
